#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
76,Naomi Jon @UC2qn0BbyTywWCuAy1f1ecfg,2.4M,3.2%,Germany,,720K,Mayapolarbear,2910000,545645729,214
77,asmr zeitgeist @UCzGEGjOCbgv9z9SF71QyI7g,2.4M,1.4%,Germany,,720K,Julia Beautx,2550000,588530483,481
78,Mayapolarbear @UCLFJxkc6mv0Mj6N49MHyK2Q,2.4M,-,Germany,,717K,Made My Day,2300000,1216979645,1703
79,Julia Beautx @UCG0E3naN7D-bgldOJvGHbtg,2.4M,0.8%,Germany,Food and Drink,717K,The Voice of Germany - Offiziell,2470000,1757745718,2766
80,3D VR 360 VIDEOS @UCnO5ygba3vsJG9IeZLndaTQ,2.4M,-,Germany,,714K,RC RC RC!!!,2850000,1233286679,1955
81,Made My Day @UCczKrLf-GTXBo1ThoiILP0A,2.3M,-,Germany,,702K,JP Performance GmbH,2540000,1580219803,2289
82,The Voice of Germany - Offiziell @UC0_LJ1oJtR5keARJWupA3_g,2.3M,-,Germany,,699K,عالم الكيك,2320000,366045910,722
83,RC RC RC!!! @UCOM2W7YxiXPtKobhrYasZDg,2.3M,-,Germany,,693K,Rapid Liquid,2350000,1070532770,490
84,JP Performance GmbH @UC1-VOKyTJrgLiBeiJqzeIUQ,2.3M,-,Germany,,687K,Khalid Alnaimi خالد النعيمي,2360000,438344240,511
85,عالم الكيك @UCPAoLHiPHbNzDlcTLh5NJjw,2.3M,-,Germany,,678K,GalileoRU,2260000,869392278,2084
86,Rapid Liquid @UC38r7_x7oMPAZweB2fvGDXQ,2.2M,-,Germany,,669K,ToysMyToys,2240000,945356005,145
87,Khalid Alnaimi خالد النعيمي @UCyCs6M3YClp90wqwcnnEmOw,2.2M,0.8%,Germany,Marketing and Advertising,669K,GÜLSÜMÜN SARAYI TV,3440000,762385632,1916
